venue,city,query_used,attempt,latitude,longitude,photon_name,photon_city,photon_country,photon_state,osm_value
Arun Jaitley Stadium,Delhi,Arun Jaitley Stadium,1,28.6377017,77.2431069,Arun Jaitley Stadium,Delhi,India,,stadium
"Arun Jaitley Stadium, Delhi",Delhi,"Arun Jaitley Stadium, Delhi",1,28.6377017,77.2431069,Arun Jaitley Stadium,Delhi,India,,stadium
Barabati Stadium,Cuttack,Barabati Stadium,1,20.4807044,85.8685254,Barabati Stadium,Cuttack,India,Odisha,stadium
"Barsapara Cricket Stadium, Guwahati",Guwahati,Barsapara Cricket Stadium,3,-26.3154224,27.8309438,Lenasia Cricket Stadium,Lenasia,South Africa,Gauteng,stadium
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,26.8112572,81.0167842,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,,India,Uttar Pradesh,stadium
Brabourne Stadium,Mumbai,Brabourne Stadium,1,18.9319276,72.8249626,Brabourne Stadium,,India,Maharashtra,stadium
"Brabourne Stadium, Mumbai",Mumbai,"Brabourne Stadium, Mumbai",1,18.9319276,72.8249626,Brabourne Stadium,,India,Maharashtra,stadium
Buffalo Park,East London,Buffalo Park,1,59.3830528,-112.7292281,Wood Buffalo National Park,,Canada,,national_park
De Beers Diamond Oval,Kimberley,De Beers Diamond Oval,1,-28.742642,24.7967746,De Beers Diamond Oval,Kimberley,South Africa,Northern Cape,sports_centre
Dr DY Patil Sports Academy,Mumbai,Dr DY Patil Sports Academy,1,19.0420503,73.0267308,Dr. DY Patil Sports Stadium,Navi Mumbai,India,Maharashtra,stadium
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",1,19.0420503,73.0267308,Dr. DY Patil Sports Stadium,Navi Mumbai,India,Maharashtra,stadium
"Dr DY Patil Sports Academy, Mumbai",Mumbai,"Dr DY Patil Sports Academy, Mumbai",1,19.0420503,73.0267308,Dr. DY Patil Sports Stadium,Navi Mumbai,India,Maharashtra,stadium
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,17.7974965,83.3522341,Dr. YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,Endada,India,Andhra Pradesh,stadium
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,17.7974965,83.3522341,Dr. YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,Endada,India,Andhra Pradesh,stadium
Dubai International Cricket Stadium,Dubai,Dubai International Cricket Stadium,1,25.0467384,55.219007,Dubai International Cricket Stadium,مدينة دبي الرياضية,United Arab Emirates,Dubai,stadium
Dubai International Cricket Stadium,,Dubai International Cricket Stadium,1,25.0467384,55.219007,Dubai International Cricket Stadium,مدينة دبي الرياضية,United Arab Emirates,Dubai,stadium
Eden Gardens,Kolkata,Eden Gardens,1,22.5646093,88.3423371,Eden Gardens,Kolkata,India,West Bengal,stadium
"Eden Gardens, Kolkata",Kolkata,"Eden Gardens, Kolkata",1,22.5646093,88.3423371,Eden Gardens,Kolkata,India,West Bengal,stadium
