input,latitude,longitude,city,country,type
"Sheikh Zayed Cricket Stadium, Abu Dhabi",24.3965743,54.5407478,Zayed City,United Arab Emirates,pitch
"Zayed Cricket Stadium, Abu Dhabi",24.3965743,54.5407478,Zayed City,United Arab Emirates,pitch
"Narendra Modi Cricket Stadium, Ahmedabad",23.0917717,72.5973345,Ahmedabad,India,stadium
"Sardar Patel Cricket Stadium, Motera",23.0925447,72.5978635,,India,sports_centre
"M.Chinnaswamy Cricket Stadium, Bengaluru",12.9788127,77.5995775,Bengaluru,India,stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",,,,,
"Punjab Association IS Bindra Cricket Stadium, Chandigarh",,,,,
"Narendra Modi Cricket Stadium, Ahmedabad",23.0917717,72.5973345,Ahmedabad,India,stadium
"Punjab Association IS Bindra Cricket Stadium, Mohali",32.5008383,74.5539018,Sialkot,Pakistan,stadium
"Punjab Association IS Bindra Cricket Stadium, Mohali, Chandigarh",,,,,
