season,team,player_name,player_long_name,espn_id,player_role,is_withdrawn,nationality,acquisition_type,base_price,sold_price,currency,sold_price_inr,base_price_inr,sold_price_crores,capped_status,replaced_player,price_bucket,is_mega_auction_year
2008,Bangalore Royal Challengers,R Dravid,Rahul Dravid,28114,C,,India,icon_player,,1035000,USD,46575000,,4.66,Capped,,2-5 Crore,Y
2008,Bangalore Royal Challengers,Abdur Razzak,Abdur Razzak,56283,P,,Overseas,sold,,50000,USD,2250000,,0.23,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,NC Aiyappa,Neravanda Aiyappa,26198,P,,India,signed,,50000,USD,2250000,,0.23,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,B Akhil,Balachandra Akhil,26206,P,,India,signed,,50000,USD,2250000,,0.23,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,KP Appanna,KP Appanna,269170,P,,India,signed,,50000,USD,2250000,,0.23,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,J Arunkumar,Jagadeesh Arunkumar,26291,P,,India,signed,,50000,USD,2250000,,0.23,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,MV Boucher,Mark Boucher,44111,WK,,Overseas,sold,200000,450000,USD,20250000,9000000,2.03,,,2-5 Crore,Y
2008,Bangalore Royal Challengers,S Chanderpaul,Shivnarine Chanderpaul,51469,P,,Overseas,sold,200000,200000,USD,9000000,9000000,0.9,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,B Chipli,Bharat Chipli,27685,P,,India,signed,,50000,USD,2250000,,0.23,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,SP Goswami,Shreevats Goswami,302579,WK,,India,supplementary,,30000,USD,1350000,,0.14,Capped,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,W Jaffer,Wasim Jaffer,29646,P,,India,sold,150000,150000,USD,6750000,6750000,0.68,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,SB Joshi,Sunil Joshi,29725,P,,India,signed,,50000,USD,2250000,,0.23,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,JH Kallis,Jacques Kallis,45789,P,,Overseas,sold,225000,900000,USD,40500000,10125000,4.05,,,2-5 Crore,Y
2008,Bangalore Royal Challengers,Z Khan,Zaheer Khan,30102,P,,India,sold,200000,450000,USD,20250000,9000000,2.03,,,2-5 Crore,Y
2008,Bangalore Royal Challengers,V Kohli,Virat Kohli,253802,P,,India,supplementary,,50000,USD,2250000,,0.23,Capped,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,P Kumar,Praveen Kumar,30732,P,,India,signed,,50000,USD,2250000,,0.23,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,A Kumble,Anil Kumble,30176,P,,India,sold,250000,500000,USD,22500000,11250000,2.25,,,2-5 Crore,Y
2008,Bangalore Royal Challengers,Misbah-ul-Haq,Misbah-ul-Haq,41378,P,,Overseas,sold,,125000,USD,5625000,,0.56,,,Under 1 Crore,Y
2008,Bangalore Royal Challengers,AA Noffke,Ashley Noffke,6938,P,,Overseas,replacement,,325000,USD,14625000,,1.46,,Nathan Bracken,1-2 Crore,Y
