venue,city,latitude,longitude,formatted_address,place_id,geocode_status
Arun Jaitley Stadium,Delhi,28.637923,77.2431735,"Jawaharlal Nehru Marg, Feroze Shah Kotla, Raj Ghat, New Delhi, Delhi, 110002, India",ChIJR1eqLNj8DDkRQ-flSee5t54,ok
"Arun Jaitley Stadium, Delhi",Delhi,28.637923,77.2431735,"Jawaharlal Nehru Marg, Feroze Shah Kotla, Raj Ghat, New Delhi, Delhi, 110002, India",ChIJR1eqLNj8DDkRQ-flSee5t54,ok
Barabati Stadium,Cuttack,20.4809114,85.86856329999999,"Stadium Rd, Biju Patnaik Colony, Cuttack, Odisha 753001, India",ChIJI8WCzQwSGToRhmGtp0yORaQ,ok
"Barsapara Cricket Stadium, Guwahati",Guwahati,26.1452307,91.7364839,"Barsapara, Guwahati, Assam 781018, India",ChIJNxKi-epbWjcRQk20u2__Lyg,ok
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,26.8112598,81.0168569,"R256+9X5 Ekana Sportz City, Amar Shaheed Path, Gomti Nagar, Lucknow, Ardonamau, Uttar Pradesh 226002, India",ChIJQW6QrCv9mzkR-teOfQBHlEU,ok
Brabourne Stadium,Mumbai,18.932125,72.8247734,"Block No 3, Stadium House en, Veer Nariman Rd, Churchgate, Mumbai, Maharashtra 400020, India",ChIJTxAOS-bR5zsRiWRMaVl3zOA,ok
"Brabourne Stadium, Mumbai",Mumbai,18.932125,72.8247734,"Block No 3, Stadium House en, Veer Nariman Rd, Churchgate, Mumbai, Maharashtra 400020, India",ChIJTxAOS-bR5zsRiWRMaVl3zOA,ok
Buffalo Park,East London,-33.0194318,27.9054471,"East London, South Africa",ChIJA4MJJvzmZh4RnxsazHTYt2I,ok
De Beers Diamond Oval,Kimberley,-28.7425151,24.7976745,"43 Lardner Burke Ave, Cassandra, Kimberley, 8301, South Africa",ChIJk7vIcAAbmx4RFTKLlPk6nxA,ok
Dr DY Patil Sports Academy,Mumbai,19.0412987,73.0263854,"Sector 7, Nerul, Navi Mumbai, Maharashtra 400706, India",ChIJIbmPMMXD5zsRN91oCB8YloQ,ok
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,19.0412987,73.0263854,"Sector 7, Nerul, Navi Mumbai, Maharashtra 400706, India",ChIJIbmPMMXD5zsRN91oCB8YloQ,ok
"Dr DY Patil Sports Academy, Mumbai",Mumbai,19.0412987,73.0263854,"Sector 7, Nerul, Navi Mumbai, Maharashtra 400706, India",ChIJIbmPMMXD5zsRN91oCB8YloQ,ok
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,17.7974686,83.3522546,"10-134, NH16, Pothinamallayya Palem, Potinamallayyapalem, Andhra Pradesh 530041, India",ChIJN-J_X_VbOToRt8Mg_3bDBVQ,ok
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,17.7974686,83.3522546,"10-134, NH16, Pothinamallayya Palem, Potinamallayyapalem, Andhra Pradesh 530041, India",ChIJN-J_X_VbOToRt8Mg_3bDBVQ,ok
Dubai International Cricket Stadium,,25.0467727,55.21908089999999,Prime Business Centre - Sheikh Mohammed Bin Zayed Rd - Jumeirah Village - Dubai Sports City - Dubai - United Arab Emirates,ChIJU112c9ptXz4RiAfe93pap5c,ok
Dubai International Cricket Stadium,Dubai,25.0467727,55.21908089999999,Prime Business Centre - Sheikh Mohammed Bin Zayed Rd - Jumeirah Village - Dubai Sports City - Dubai - United Arab Emirates,ChIJU112c9ptXz4RiAfe93pap5c,ok
Eden Gardens,Kolkata,22.5645788,88.34331480000002,"Maidan, B.B.D. Bagh, Kolkata, West Bengal 700021, India",ChIJr7nl9593AjoReb27vYQYGx0,ok
"Eden Gardens, Kolkata",Kolkata,22.5645788,88.34331480000002,"Maidan, B.B.D. Bagh, Kolkata, West Bengal 700021, India",ChIJr7nl9593AjoReb27vYQYGx0,ok
Feroz Shah Kotla,Delhi,28.6349159,77.2433053,"J6MV+X87, Balmiki Basti, Vikram Nagar, New Delhi, Delhi, 110002, India",ChIJW5uXItf8DDkR-NoAKxvTCng,ok
Green Park,Kanpur,26.4827017,80.3468187,"15/66, Green Park Stadium, Green Park, Civil Lines, Kanpur, Uttar Pradesh 208001, India",ChIJaxC-uLw4nDkR5QFm7CJKDIE,ok
Himachal Pradesh Cricket Association Stadium,Dharamsala,32.219042,76.3234037,"Dharamshala, Himachal Pradesh, India",ChIJEXO9Zd9QGzkRENzGALG9CD4,ok
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,32.1976206,76.32591819999999,"Tehsil, Distt, Jawahar Nagar, Dharamshala, Chelian, Himachal Pradesh 176215, India",ChIJG4MC9SfbBTkRUuK3xPRmwcM,ok
Holkar Cricket Stadium,Indore,22.7242543,75.87965679999999,"IDA Building, Race Course Rd, Near Janjeerwala Square, New Palasia, Indore, Madhya Pradesh 452003, India",ChIJf8rRdT_9YjkRECxDGzNa4eo,ok
JSCA International Stadium Complex,Ranchi,23.3102008,85.2748345,"1388, DT Rd, HEC Colony, Ranchi, Jharkhand 834004, India",ChIJW9HhNP4f9TkRfRvvPqs3nfY,ok
Kingsmead,Durban,-29.8500652,31.0277935,"2 Kingsmead Way, Stamford Hill, Durban, 4000, South Africa",ChIJNxYqMMyp9x4R1vKlWGTrgQg,ok
M Chinnaswamy Stadium,Bangalore,12.978813,77.5996565,"Mahatma Gandhi Rd, near Cubbon Road, Shivaji Nagar, Bengaluru, Karnataka 560001, India",ChIJU5th02QWrjsR7JpwhJd2Eww,ok
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,12.978813,77.5996565,"Mahatma Gandhi Rd, near Cubbon Road, Shivaji Nagar, Bengaluru, Karnataka 560001, India",ChIJU5th02QWrjsR7JpwhJd2Eww,ok
M.Chinnaswamy Stadium,Bengaluru,12.978813,77.5996565,"Mahatma Gandhi Rd, near Cubbon Road, Shivaji Nagar, Bengaluru, Karnataka 560001, India",ChIJU5th02QWrjsR7JpwhJd2Eww,ok
MA Chidambaram Stadium,Chennai,13.0626985,80.27931009999999,"1, Wallahjah Rd, Chepauk, Triplicane, Chennai, Tamil Nadu 600005, India",ChIJjXSf26BoUjoR5WxYJP06W0Q,ok
"MA Chidambaram Stadium, Chepauk",Chennai,13.0626985,80.27931009999999,"1, Wallahjah Rd, Chepauk, Triplicane, Chennai, Tamil Nadu 600005, India",ChIJjXSf26BoUjoR5WxYJP06W0Q,ok
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,13.0626985,80.27931009999999,"1, Wallahjah Rd, Chepauk, Triplicane, Chennai, Tamil Nadu 600005, India",ChIJjXSf26BoUjoR5WxYJP06W0Q,ok
