venue_name,city_name,canonical_venue,canonical_city
Dubai International Cricket Stadium,,Dubai International Cricket Stadium,Dubai
"Dr DY Patil Sports Academy, Mumbai",Mumbai,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
Sharjah Cricket Stadium,,Sharjah Cricket Stadium,Sharjah
"Maharashtra Cricket Association Stadium, Pune",Pune,Subrata Roy Sahara Stadium,Pune
"Eden Gardens, Kolkata",Kolkata,Eden Gardens,Kolkata
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali
M.Chinnaswamy Stadium,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
Dr DY Patil Sports Academy,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
Rajiv Gandhi International Stadium,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
Wankhede Stadium,Mumbai,"Wankhede Stadium, Mumbai",Mumbai
"Sawai Mansingh Stadium, Jaipur",Jaipur,Sawai Mansingh Stadium,Jaipur
"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Cricket Association IS Bindra Stadium,Chandigarh
"MA Chidambaram Stadium, Chepauk",Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
"Sardar Patel Stadium, Motera",Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
Maharashtra Cricket Association Stadium,Pune,Subrata Roy Sahara Stadium,Pune
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Sheikh Zayed Stadium,Abu Dhabi
M Chinnaswamy Stadium,Bangalore,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
Feroz Shah Kotla,Delhi,Arun Jaitley Stadium,Delhi
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Punjab Cricket Association IS Bindra Stadium,Chandigarh
MA Chidambaram Stadium,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
"Arun Jaitley Stadium, Delhi",Delhi,Arun Jaitley Stadium,Delhi
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Punjab Cricket Association IS Bindra Stadium,Chandigarh
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali
Brabourne Stadium,Mumbai,"Brabourne Stadium, Mumbai",Mumbai
